index,price,Month,food_id,num_orders
0,94.09,1,4,202
1,94.12,2,5,271
2,95.06,7,4,823
3,95.09,1,5,350
4,95.09,8,5,285
5,96.03,2,4,635
6,96.03,2,5,393
7,96.03,4,5,1256
8,96.03,5,4,566
9,96.03,6,5,215
10,96.03,7,5,487
11,96.03,10,5,880
12,96.06,10,4,203
13,96.09,7,4,242
14,96.09,11,4,95
15,97.0,5,5,568
16,97.0,8,4,271
17,97.0,11,4,377
18,97.0,11,5,447
19,97.03,1,4,985
20,97.03,2,5,297
21,97.03,3,4,163
22,97.03,3,5,594
23,97.03,6,4,431
24,97.03,6,5,514
25,97.03,8,4,391
26,97.03,10,4,188
27,97.03,10,5,623
28,97.03,11,4,446
29,97.03,11,5,621
30,97.06,1,4,1147
31,97.06,6,4,364
32,97.06,6,5,190
33,97.06,8,4,161
34,97.06,10,4,553
35,97.97,1,5,1080
36,97.97,7,5,203
37,97.97,8,5,190
38,97.97,10,4,593
39,98.0,2,4,190
40,98.0,4,4,514
41,98.0,5,5,649
42,98.0,7,4,108
43,98.03,1,5,568
44,98.03,4,4,514
45,98.03,5,5,555
46,98.03,6,4,244
47,98.03,8,4,350
48,98.03,8,5,312
49,98.03,10,4,230
50,98.03,10,5,634
51,98.03,11,4,189
52,98.03,11,5,486
53,98.97,8,5,337
54,99.0,2,4,135
55,99.0,2,5,107
56,99.0,5,4,743
57,99.0,7,5,202
58,99.0,10,4,203
59,99.0,10,5,284
60,99.0,11,5,310
61,99.91,10,4,244
62,99.97,2,5,108
63,100.88,10,5,420
64,100.88,11,5,364
65,101.85,5,4,420
66,103.82,7,5,391
67,103.85,1,5,446
68,120.28,1,1,3862
69,120.28,1,2,8559
70,120.28,1,3,2187
71,120.28,8,1,1727
72,120.28,12,1,2620
73,120.31,2,3,1095
74,120.31,7,1,1674
75,120.34,8,1,1512
76,121.25,1,1,2161
77,121.25,2,1,3011
78,121.25,2,2,2524
79,121.25,2,3,729
80,121.25,7,3,690
81,121.25,8,3,1380
82,121.28,1,2,2822
83,121.28,1,3,1079
84,121.28,2,1,2822
85,121.28,2,3,944
86,121.28,8,2,1808
87,121.28,12,2,2471
88,122.25,2,2,4159
89,122.28,1,1,6009
90,122.28,1,3,851
91,122.28,2,3,971
92,122.28,7,1,1432
93,122.28,7,2,4320
94,122.28,8,2,1620
95,122.28,12,3,1039
96,123.25,2,1,5899
97,123.25,2,2,1484
98,123.25,7,3,634
99,131.95,11,6,230
100,132.92,9,6,555
101,132.95,3,16,1889
102,133.86,1,1,2067
103,133.86,1,2,2606
104,133.86,1,3,1110
105,134.83,1,3,447
106,134.86,1,1,2472
107,134.86,1,2,2418
108,135.83,1,3,634
109,135.86,1,1,4023
110,135.86,1,2,4834
111,136.77,4,9,204
112,138.71,4,1,1094
113,138.71,6,9,811
114,138.71,9,5,123
115,138.74,12,5,230
116,139.68,10,2,2484
117,139.68,10,3,796
118,139.71,7,9,837
119,140.65,10,3,1095
120,140.65,12,1,2078
121,140.68,4,1,2105
122,140.68,6,3,1081
123,140.68,10,3,1905
124,140.68,10,9,431
125,141.62,3,2,2202
126,141.62,4,3,798
127,141.62,4,14,3174
128,141.62,10,1,4174
129,141.62,10,6,728
130,141.62,12,2,1662
131,141.62,12,3,771
132,141.65,4,2,1608
133,141.65,4,3,1295
134,141.65,5,3,662
135,141.65,6,6,796
136,142.59,3,1,1998
137,142.59,3,3,809
138,142.59,4,2,2011
139,142.59,4,3,852
140,142.59,4,6,782
141,142.59,9,3,1014
142,142.59,10,1,5116
143,142.59,10,2,2283
144,142.59,12,1,4308
145,142.62,3,1,2309
146,142.62,4,1,2092
147,142.62,4,3,1716
148,142.62,6,1,3266
149,142.62,8,3,1066
150,142.62,10,1,4158
151,142.62,10,2,2511
152,142.65,5,1,1742
153,142.65,6,9,458
154,142.65,10,2,2566
155,143.56,1,1,1836
156,143.56,2,1,1863
157,143.56,2,16,2092
158,143.56,3,2,2902
159,143.56,4,2,1540
160,143.56,4,3,743
161,143.56,5,2,5157
162,143.56,6,3,1243
163,143.56,7,3,917
164,143.56,9,1,1945
165,143.56,10,2,1959
166,143.56,10,3,838
167,143.56,11,1,4146
168,143.56,11,3,648
169,143.56,12,2,7467
170,143.59,3,1,2093
171,143.59,6,2,1808
172,143.59,10,1,3267
173,143.59,10,2,1716
174,143.59,11,1,4913
175,143.59,11,3,1647
176,143.59,12,2,1849
177,143.62,2,9,972
178,143.62,3,3,1121
179,143.62,4,1,2079
180,143.62,4,2,1689
181,143.62,7,3,1241
182,143.62,12,3,851
183,144.53,1,2,1363
184,144.53,2,3,540
185,144.53,3,1,2363
186,144.53,3,2,4278
187,144.53,3,3,985
188,144.53,5,2,2093
189,144.53,5,3,688
190,144.53,6,1,5929
191,144.53,6,2,4185
192,144.53,6,3,1970
193,144.53,7,2,1876
194,144.53,8,3,2135
195,144.53,9,1,4740
196,144.53,9,2,5091
197,144.53,9,3,3795
198,144.53,9,9,986
199,144.53,12,3,1000
200,144.56,2,2,2418
201,144.56,2,3,635
202,144.56,3,1,2119
203,144.56,3,2,1754
204,144.56,3,3,486
205,144.56,4,1,1646
206,144.56,5,1,6400
207,144.56,5,2,2011
208,144.56,5,3,2865
209,144.56,6,2,2511
210,144.56,6,3,499
211,144.56,7,9,541
212,144.56,8,2,2242
213,144.56,8,3,1135
214,144.56,9,2,2080
215,144.56,10,2,2133
216,144.56,10,3,744
217,144.56,11,1,1743
218,144.56,11,2,3647
219,144.56,11,3,365
220,144.56,12,1,2011
221,144.56,12,3,1929
222,144.59,2,3,541
223,144.59,4,3,474
224,144.59,5,3,1769
225,144.59,6,1,3012
226,144.59,10,1,2092
227,144.59,10,2,1716
228,144.59,10,3,555
229,144.59,10,9,756
230,144.59,11,2,6979
231,144.59,11,3,784
232,144.59,12,2,1621
233,144.59,12,3,836
234,145.5,1,3,851
235,145.5,1,9,595
236,145.5,4,1,2983
237,145.5,5,3,850
238,145.5,7,6,756
239,145.5,7,15,2553
240,145.5,10,6,770
241,145.53,1,1,1795
242,145.53,1,2,1944
243,145.53,2,1,3930
244,145.53,2,2,2349
245,145.53,2,3,432
246,145.53,3,1,2511
247,145.53,3,2,7060
248,145.53,3,3,1283
249,145.53,4,1,8466
250,145.53,4,2,4927
251,145.53,5,1,1714
252,145.53,6,2,2038
253,145.53,7,2,4145
254,145.53,7,3,892
255,145.53,8,1,5347
256,145.53,8,2,1836
257,145.53,8,3,1743
258,145.53,9,1,2456
259,145.53,9,2,5250
260,145.53,9,3,2391
261,145.53,10,3,1027
262,145.53,11,2,1592
263,145.53,12,3,716
264,145.56,2,1,2146
265,145.56,2,6,269
266,145.56,3,1,2443
267,145.56,3,3,1984
268,145.56,4,2,1797
269,145.56,4,3,663
270,145.56,5,1,3848
271,145.56,5,2,1620
272,145.56,6,1,2985
273,145.56,6,2,2348
274,145.56,8,1,2011
275,145.56,9,1,4442
276,145.56,11,1,6765
277,145.56,11,2,4333
278,145.56,11,3,1783
279,145.56,12,1,3796
280,146.47,2,2,2364
281,146.47,2,3,1149
282,146.47,3,5,177
283,146.47,5,6,500
284,146.47,6,6,405
285,146.47,8,1,3552
286,146.5,2,3,945
287,146.5,8,1,1754
288,146.5,8,15,6155
289,146.5,9,1,1998
290,146.5,11,6,890
291,146.53,1,3,1039
292,146.53,2,1,2106
293,146.53,2,2,5385
294,146.53,3,1,5938
295,146.53,3,3,851
296,146.53,5,1,1729
297,146.53,5,2,3724
298,146.53,5,3,703
299,146.53,5,9,567
300,146.53,6,3,1255
301,146.53,6,9,1284
302,146.53,7,1,7358
303,146.53,8,1,4320
304,146.53,8,2,4117
305,146.53,9,1,2470
306,146.53,9,2,5347
307,146.53,11,3,728
308,146.53,12,1,1916
309,147.44,3,6,527
310,147.44,4,2,392
311,147.44,4,4,257
312,147.44,5,1,2863
313,147.44,8,9,717
314,147.47,2,1,2511
315,147.47,2,3,1068
316,147.47,3,2,1674
317,147.47,4,2,2134
318,147.47,4,3,986
319,147.47,5,9,946
320,147.5,2,1,2984
321,147.5,6,4,297
322,147.5,7,1,3417
323,147.5,7,2,1931
324,147.5,7,3,1228
325,147.5,8,2,3442
326,148.41,3,2,2105
327,148.41,4,2,1459
328,148.41,6,9,931
329,148.41,7,1,2458
330,148.41,7,4,122
331,148.41,8,2,1837
332,148.41,8,3,783
333,148.41,8,9,378
334,148.41,9,5,122
335,148.44,3,2,1931
336,148.44,3,3,1093
337,148.44,4,5,175
338,148.44,5,2,1835
339,148.44,5,3,622
340,148.44,6,6,906
341,148.44,6,9,729
342,148.44,10,4,189
343,148.47,2,2,1621
344,148.47,3,1,2780
345,148.47,3,3,743
346,148.47,3,5,202
347,148.47,4,1,3173
348,148.47,5,1,2715
