index,week,price,num_orders,Month,food_id
0,1,135.86,2132,1,1
1,1,134.86,2418,1,2
2,1,133.86,474,1,3
3,1,337.62,123,1,21
4,1,252.23,162,1,5
5,1,253.23,121,1,4
6,1,184.36,513,1,8
7,1,185.33,998,1,7
8,1,191.09,2078,1,10
9,1,307.49,366,1,24
10,1,320.16,337,1,23
11,1,321.1,528,1,25
12,1,279.36,1688,1,17
13,1,424.92,1067,1,27
14,1,231.86,3511,1,16
15,1,281.33,271,1,11
16,1,282.33,526,1,15
17,1,280.33,257,1,18
18,1,244.44,756,1,20
19,1,454.93,13,1,20
20,1,485.0,122,1,20
21,1,330.83,1404,1,19
22,1,261.9,836,1,19
23,1,259.99,541,1,19
24,1,389.03,122,1,28
25,1,387.03,175,1,29
26,1,364.72,150,1,32
27,1,169.78,688,1,9
28,1,176.54,904,1,6
29,1,157.2,944,1,9
30,1,243.5,109,1,12
31,1,242.5,41,1,13
32,1,243.5,54,1,11
33,1,587.82,283,1,33
34,1,582.03,486,1,33
35,1,584.97,986,1,33
36,1,627.62,284,1,39
37,1,626.62,109,1,37
38,1,626.62,161,1,38
39,1,242.53,485,1,14
40,1,242.5,1202,1,14
41,1,244.5,593,1,6
42,1,388.03,96,1,26
43,1,484.03,283,1,31
44,1,485.03,134,1,30
45,2,135.86,1891,1,1
46,2,133.86,2606,1,2
47,2,134.83,447,1,3
48,2,340.5,53,1,21
49,2,97.97,1080,1,5
50,2,97.06,1147,1,4
51,2,183.33,513,1,8
52,2,182.36,784,1,7
53,2,193.06,2120,1,10
54,2,320.1,420,1,24
55,2,323.01,338,1,23
56,2,323.98,567,1,25
57,2,311.43,1310,1,17
58,2,447.23,1068,1,27
59,2,259.02,1311,1,16
60,2,280.33,270,1,11
61,2,281.33,528,1,15
62,2,282.33,189,1,18
63,2,243.5,472,1,20
64,2,456.93,27,1,20
65,2,487.0,55,1,20
66,2,329.83,1106,1,19
67,2,284.24,608,1,19
68,2,259.99,769,1,19
69,2,388.03,82,1,28
70,2,388.03,134,1,29
71,2,339.53,202,1,32
72,2,160.05,377,1,9
73,2,172.66,1268,1,6
74,2,162.05,757,1,9
75,2,242.5,122,1,12
76,2,244.5,94,1,13
77,2,243.5,26,1,11
78,2,582.03,188,1,33
79,2,581.03,285,1,33
80,2,584.94,716,1,33
81,2,627.62,216,1,39
82,2,627.62,175,1,37
83,2,628.62,177,1,38
84,2,243.53,460,1,14
85,2,243.5,971,1,14
86,2,246.44,567,1,6
87,2,388.03,109,1,26
88,2,485.03,203,1,31
89,2,484.03,95,1,30
90,3,133.86,2067,1,1
91,3,135.86,2471,1,2
92,3,135.83,634,1,3
93,3,332.71,67,1,21
94,3,98.03,568,1,5
95,3,97.03,445,1,4
96,3,184.33,702,1,8
97,3,182.36,1187,1,7
98,3,192.06,2349,1,10
99,3,316.25,351,1,24
100,3,320.13,323,1,23
101,3,309.49,499,1,25
102,3,309.43,1593,1,17
103,3,446.26,892,1,27
104,3,308.46,1526,1,16
105,3,242.5,311,1,11
106,3,243.47,514,1,15
107,3,243.5,271,1,18
108,3,243.5,432,1,20
109,3,454.93,203,1,20
110,3,486.0,109,1,20
111,3,330.83,1161,1,19
112,3,292.03,635,1,19
113,3,330.83,446,1,19
114,3,389.03,190,1,28
115,3,387.03,161,1,29
116,3,340.53,150,1,32
117,3,181.42,715,1,9
118,3,176.6,1161,1,6
119,3,151.32,1025,1,9
120,3,242.5,135,1,12
121,3,242.5,68,1,13
122,3,242.5,41,1,11
123,3,604.34,122,1,33
124,3,608.19,351,1,33
125,3,612.13,445,1,33
126,3,628.62,108,1,39
127,3,627.62,175,1,37
128,3,627.62,54,1,38
129,3,241.53,298,1,14
130,3,242.5,1079,1,14
131,3,242.5,458,1,6
132,3,387.03,122,1,26
133,3,485.03,188,1,31
134,3,485.03,136,1,30
135,4,134.86,2472,1,1
136,4,135.86,2363,1,2
137,4,133.86,636,1,3
138,4,336.65,96,1,21
139,4,103.85,446,1,5
140,4,97.03,540,1,4
141,4,182.39,837,1,8
142,4,184.36,1079,1,7
143,4,194.03,2200,1,10
144,4,317.19,258,1,24
145,4,324.98,270,1,23
146,4,316.22,607,1,25
147,4,309.43,1593,1,17
148,4,445.23,1202,1,27
149,4,311.43,1432,1,16
150,4,243.5,474,1,11
151,4,243.47,661,1,15
152,4,244.5,393,1,18
153,4,338.53,109,1,20
154,4,454.93,177,1,20
155,4,486.03,15,1,20
156,4,329.83,1148,1,19
157,4,291.03,609,1,19
158,4,329.83,419,1,19
159,4,388.03,81,1,28
160,4,389.03,68,1,29
161,4,340.53,148,1,32
162,4,172.69,1052,1,9
163,4,153.32,1108,1,6
164,4,184.3,1214,1,9
165,4,247.41,123,1,12
166,4,244.5,123,1,13
167,4,243.5,81,1,11
168,4,607.28,312,1,33
169,4,615.01,405,1,33
170,4,614.04,512,1,33
171,4,626.62,283,1,39
172,4,626.62,148,1,37
173,4,621.83,123,1,38
174,4,243.53,378,1,14
175,4,244.5,1257,1,14
176,4,244.5,797,1,6
177,4,388.03,175,1,26
178,4,484.03,148,1,31
179,4,486.03,135,1,30
180,1,143.56,1863,2,1
181,1,145.53,2349,2,2
182,1,144.59,541,2,3
183,1,393.88,26,2,21
184,1,94.12,271,2,5
185,1,96.03,580,2,4
186,1,183.39,474,2,8
187,1,181.39,864,2,7
188,1,193.09,2430,2,10
189,1,377.36,175,2,24
190,1,389.0,81,2,23
191,1,332.71,501,2,25
192,1,162.02,10745,2,17
193,1,240.59,5400,2,27
194,1,156.2,1324,2,16
195,1,244.5,446,2,11
196,1,241.59,419,2,15
197,1,241.53,728,2,18
198,1,339.53,135,2,20
199,1,455.93,123,2,20
200,1,328.83,838,2,19
201,1,197.91,419,2,19
202,1,329.83,351,2,19
203,1,445.23,69,2,28
204,1,445.23,69,2,29
205,1,486.03,134,2,32
206,1,186.27,580,2,9
207,1,157.17,1133,2,6
208,1,161.05,676,2,9
209,1,242.5,54,2,12
210,1,244.5,107,2,13
211,1,242.5,40,2,11
212,1,612.13,53,2,33
213,1,611.13,365,2,33
214,1,615.98,337,2,33
215,1,490.85,811,2,39
216,1,495.67,662,2,37
217,1,486.03,378,2,38
218,1,242.53,378,2,14
219,1,290.06,555,2,14
220,1,290.03,269,2,6
221,1,387.03,53,2,26
222,1,484.03,216,2,31
223,1,486.03,161,2,30
224,2,145.53,1972,2,1
225,2,144.56,2418,2,2
226,2,144.53,540,2,3
227,2,436.53,13,2,21
228,2,249.35,94,2,5
229,2,228.95,96,2,4
230,2,161.08,823,2,8
231,2,158.14,1336,2,7
232,2,225.04,1635,2,10
233,2,385.15,217,2,24
234,2,383.18,82,2,23
235,2,373.45,204,2,25
236,2,154.23,6047,2,17
237,2,242.56,3538,2,27
238,2,143.56,2092,2,16
239,2,241.53,296,2,11
240,2,241.53,932,2,15
241,2,243.5,541,2,18
242,2,339.53,82,2,20
243,2,454.93,134,2,20
244,2,485.03,69,2,20
245,2,328.83,946,2,19
246,2,222.13,635,2,19
247,2,312.4,243,2,19
248,2,447.23,162,2,28
249,2,445.23,81,2,29
250,2,484.03,67,2,32
251,2,164.93,945,2,9
252,2,183.39,783,2,6
253,2,163.99,770,2,9
254,2,242.5,81,2,12
255,2,243.5,95,2,13
256,2,244.5,42,2,11
257,2,612.13,149,2,33
258,2,612.13,312,2,33
259,2,616.01,405,2,33
260,2,484.03,864,2,39
261,2,486.03,743,2,37
262,2,485.03,405,2,38
263,2,241.53,352,2,14
264,2,290.03,582,2,14
265,2,291.03,258,2,6
266,2,389.03,123,2,26
267,2,431.71,203,2,31
268,2,438.5,204,2,30
269,3,146.53,2106,2,1
270,3,146.53,2807,2,2
271,3,145.53,432,2,3
272,3,435.53,68,2,21
273,3,251.23,55,2,5
274,3,247.35,26,2,4
275,3,160.11,933,2,8
276,3,158.14,1229,2,7
277,3,225.1,1743,2,10
278,3,389.0,121,2,24
279,3,374.42,94,2,23
280,3,388.0,243,2,25
281,3,156.17,6372,2,17
282,3,415.22,945,2,27
283,3,203.7,2416,2,16
284,3,241.53,393,2,11
285,3,243.53,879,2,15
286,3,244.5,609,2,18
287,3,340.53,109,2,20
288,3,455.93,122,2,20
289,3,485.03,148,2,20
290,3,300.76,1322,2,19
291,3,241.53,648,2,19
292,3,311.4,351,2,19
293,3,447.23,95,2,28
294,3,447.23,67,2,29
295,3,485.03,122,2,32
296,3,155.23,865,2,9
297,3,157.14,1014,2,6
298,3,165.93,918,2,9
299,3,243.5,136,2,12
300,3,244.5,82,2,13
301,3,621.8,149,2,33
302,3,611.13,258,2,33
303,3,611.13,527,2,33
304,3,669.33,270,2,39
305,3,660.57,339,2,37
306,3,670.33,108,2,38
307,3,243.53,420,2,14
308,3,292.03,622,2,14
309,3,292.03,325,2,6
310,3,388.03,177,2,26
311,3,437.5,256,2,31
312,3,437.5,188,2,30
313,4,145.56,2146,2,1
314,4,146.53,2578,2,2
315,4,144.56,635,2,3
316,4,247.41,40,2,5
317,4,253.23,53,2,4
318,4,155.2,256,2,8
319,4,160.05,1228,2,7
320,4,227.04,1457,2,10
321,4,371.51,176,2,24
322,4,390.0,53,2,23
323,4,378.33,190,2,25
324,4,153.29,1230,2,17
325,4,439.47,756,2,27
326,4,204.7,2323,2,16
327,4,241.53,296,2,11
328,4,242.53,797,2,15
329,4,243.53,539,2,18
330,4,244.5,189,2,20
331,4,340.5,270,2,20
332,4,532.53,134,2,20
333,4,299.76,1742,2,19
334,4,185.33,406,2,19
335,4,311.4,123,2,19
336,4,446.23,55,2,28
337,4,446.23,53,2,29
338,4,484.03,67,2,32
339,4,169.75,811,2,9
340,4,164.93,973,2,6
341,4,178.54,878,2,9
342,4,243.5,136,2,12
343,4,243.5,121,2,13
344,4,243.5,41,2,11
345,4,610.13,40,2,33
346,4,611.13,134,2,33
347,4,610.13,242,2,33
348,4,668.33,80,2,39
349,4,668.33,13,2,37
350,4,670.33,28,2,38
351,4,241.53,311,2,14
352,4,292.03,676,2,14
353,4,292.03,244,2,6
354,4,388.03,162,2,26
355,4,437.5,109,2,31
356,4,437.5,121,2,30
357,1,142.59,1998,3,1
358,1,141.62,2202,3,2
359,1,142.59,809,3,3
360,1,388.03,109,3,21
361,1,251.23,68,3,5
362,1,248.38,150,3,4
363,1,162.02,1039,3,8
364,1,158.11,1459,3,7
365,1,225.04,1554,3,10
366,1,343.41,107,3,24
367,1,388.0,108,3,23
368,1,387.06,297,3,25
369,1,280.36,1797,3,17
370,1,447.23,797,3,27
371,1,225.1,2295,3,16
372,1,243.53,582,3,11
373,1,241.53,811,3,15
374,1,244.5,688,3,18
375,1,243.5,188,3,20
376,1,339.5,94,3,20
377,1,533.53,82,3,20
378,1,298.79,1472,3,19
379,1,263.87,431,3,19
380,1,307.52,270,3,19
381,1,409.34,55,3,28
382,1,447.23,108,3,29
383,1,486.03,13,3,32
384,1,167.87,959,3,9
385,1,158.14,1012,3,6
386,1,181.42,931,3,9
387,1,272.63,28,3,12
388,1,271.63,27,3,13
389,1,272.63,123,3,11
390,1,581.03,148,3,33
391,1,581.03,217,3,33
392,1,587.85,364,3,33
393,1,441.38,1174,3,39
394,1,433.59,743,3,37
395,1,436.53,742,3,38
396,1,241.53,445,3,14
397,1,290.03,838,3,14
398,1,290.03,271,3,6
399,1,389.03,107,3,26
400,1,436.5,69,3,31
401,1,422.95,134,3,30
402,2,145.53,2511,3,1
403,2,144.53,2470,3,2
404,2,143.62,431,3,3
405,2,387.03,135,3,21
406,2,246.41,107,3,5
407,2,252.23,94,3,4
408,2,161.08,1122,3,8
409,2,163.02,1176,3,7
410,2,227.04,1351,3,10
411,2,390.0,69,3,24
412,2,382.21,81,3,23
413,2,388.06,217,3,25
414,2,308.52,1458,3,17
415,2,446.23,999,3,27
416,2,236.74,1864,3,16
417,2,280.39,351,3,11
418,2,280.36,512,3,15
419,2,280.39,258,3,18
420,2,248.38,55,3,20
421,2,339.5,54,3,20
422,2,534.53,69,3,20
423,2,242.5,3174,3,19
424,2,264.87,580,3,19
425,2,242.56,1635,3,19
426,2,447.23,67,3,28
427,2,446.23,82,3,29
428,2,486.03,41,3,32
429,2,169.78,1176,3,9
430,2,161.05,809,3,6
431,2,160.05,593,3,9
432,2,272.63,69,3,12
433,2,272.63,96,3,13
434,2,271.63,26,3,11
435,2,583.03,134,3,33
436,2,583.03,271,3,33
437,2,581.03,350,3,33
438,2,435.53,890,3,39
439,2,435.53,987,3,37
440,2,435.53,742,3,38
441,2,243.53,512,3,14
442,2,241.53,986,3,14
443,2,243.53,501,3,6
444,2,387.03,123,3,26
445,2,484.03,80,3,31
446,2,484.03,122,3,30
447,3,146.53,2119,3,1
448,3,143.56,2902,3,2
449,3,143.62,690,3,3
450,3,389.03,68,3,21
451,3,251.23,136,3,5
452,3,248.38,68,3,4
453,3,159.11,1066,3,8
454,3,161.08,1647,3,7
455,3,226.98,1552,3,10
456,3,383.15,108,3,24
457,3,361.84,203,3,23
458,3,380.24,310,3,25
459,3,291.0,1445,3,17
460,3,447.23,945,3,27
461,3,252.2,1687,3,16
462,3,282.33,339,3,11
463,3,280.33,512,3,15
464,3,280.33,256,3,18
465,3,244.5,296,3,20
466,3,340.5,134,3,20
467,3,533.53,150,3,20
468,3,241.53,2809,3,19
469,3,283.3,865,3,19
470,3,241.53,1527,3,19
471,3,447.23,53,3,28
472,3,445.23,95,3,29
473,3,484.03,14,3,32
474,3,177.54,729,3,9
475,3,151.35,944,3,6
476,3,167.87,730,3,9
477,3,270.63,26,3,12
478,3,270.63,69,3,13
479,3,582.03,67,3,33
480,3,582.03,242,3,33
481,3,586.91,473,3,33
482,3,441.38,717,3,39
483,3,442.32,447,3,37
484,3,435.53,501,3,38
485,3,242.53,338,3,14
486,3,243.53,823,3,14
487,3,241.53,582,3,6
488,3,389.03,149,3,26
489,3,485.03,107,3,31
490,3,485.03,108,3,30
491,4,142.62,2309,3,1
492,4,145.53,3280,3,2
493,4,145.53,567,3,3
494,4,389.03,108,3,21
495,4,253.23,67,3,5
496,4,252.23,123,3,4
497,4,182.42,877,3,8
498,4,182.42,971,3,7
499,4,193.06,2174,3,10
500,4,380.3,162,3,24
501,4,390.0,121,3,23
502,4,386.12,284,3,25
503,4,299.79,1446,3,17
504,4,445.23,878,3,27
505,4,276.51,2012,3,16
506,4,282.33,270,3,11
507,4,282.33,379,3,15
508,4,281.33,257,3,18
509,4,243.5,473,3,20
510,4,391.94,121,3,20
511,4,484.03,216,3,20
512,4,241.53,2119,3,19
513,4,286.15,932,3,19
514,4,241.53,1081,3,19
515,4,445.23,67,3,28
516,4,446.23,27,3,29
517,4,484.03,54,3,32
518,4,183.33,728,3,9
519,4,158.14,852,3,6
520,4,175.63,473,3,9
521,4,272.63,27,3,12
522,4,272.63,95,3,13
523,4,272.63,13,3,11
524,4,532.53,67,3,33
525,4,534.53,298,3,33
526,4,533.53,634,3,33
527,4,625.71,136,3,39
528,4,611.16,243,3,37
529,4,604.34,163,3,38
530,4,241.53,298,3,14
531,4,244.5,960,3,14
532,4,242.53,594,3,6
533,4,387.03,150,3,26
